Ident,Type,Name,Elevation_ft,Continent,Iso_country,Iso_region,Municipality,Gps_code,Local_code,Coordinates
BR-0752,heliport,Pequi Metais Heliport,2464.0,SA,BR,BR-MG,Pequi,BR-0752,BR-0752,"-44.655278, -19.608056"
BR-0753,small_airport,Fazenda SÃ£o Carlos Airport,2264.0,SA,BR,BR-MS,ParaÃ­so das Ãguas,BR-0753,BR-0753,"-53.102469, -19.177568"
BR-0754,heliport,GuarÃ¡ Heliport,138.0,SA,BR,BR-MA,Godofredo Viana,BR-0754,BR-0754,"-45.751389, -1.299167"
BR-0755,heliport,On Grace Helipad,105.0,SA,BR,BR-RJ,Rio de Janeiro,BR-0755,BR-0755,"-43.374076, -22.932451"
BR-0756,small_airport,Fazenda WSA Airport,1713.0,SA,BR,BR-MT,General Carneiro,BR-0756,BR-0756,"-53.459209, -15.38341"
BR-0757,small_airport,Fazenda Montani Bahia Airport,2887.0,SA,BR,BR-BA,SÃ£o DesidÃ©rio,BR-0757,BR-0757,"-46.077443, -12.998064"
BR-0758,small_airport,San Martin Airport,20.0,SA,BR,BR-RJ,Campos dos Goytacazes,BR-0758,BR-0758,"-41.217849, -22.005825"
BR-0759,heliport,Platinum Corporate Helipad,236.0,SA,BR,BR-CE,Fortaleza,BR-0759,BR-0759,"-38.509365, -3.733335"
BR-0760,small_airport,Fazenda Tunica Airport,974.0,SA,BR,BR-MT,Ãgua Boa,BR-0760,BR-0760,"-52.038982, -14.071369"
BR-0761,small_airport,Reserva Pituba Airstrip,132.0,SA,BR,BR-AL,Coruripe,BR-0761,BR-0761,"-36.09012, -10.086322"
BR-0762,heliport,PeterFrut Heliport,3383.0,SA,BR,BR-ES,Venda Nova do Imigrante,BR-0762,BR-0762,"-41.082768, -20.399914"
BR-0763,small_airport,Fazenda Santa Rita Airstrip,440.0,SA,BR,BR-MS,Aquidauana,BR-0763,BR-0763,"-55.519638, -19.252127"
BR-0764,small_airport,Fazenda Carmen Airport,387.0,SA,BR,BR-MS,CorumbÃ¡,BR-0764,BR-0764,"-56.329377, -18.445198"
BR-0765,small_airport,Fazenda Nova PiÃºva,499.0,SA,BR,BR-MS,Aquidauan,BR-0765,BR-0765,"-55.513068, -19.864066"
BR-0766,small_airport,FSA Airport,1273.0,SA,BR,BR-MT,Nova MaringÃ¡,BR-0766,BR-0766,"-57.179444, -12.814444"
BR-0767,small_airport,Fazenda SÃ£o LuÃ­s,656.0,SA,BR,BR-RO,Pimenteiras do Oeste,BR-0767,BR-0767,"-60.82866, -13.452496"
BR-0768,small_airport,Fazenda Santa Rita Airstrip,2037.0,SA,BR,BR-RS,Campinas do Sul,BR-0768,BR-0768,"-52.723703, -27.706615"
BR-0769,small_airport,Fazenda Itiquira Airport,2215.0,SA,BR,BR-MT,Itiquira,BR-0769,BR-0769,"-54.164421, -17.437936"
BR-0770,heliport,BS Design Helipad,348.0,SA,BR,BR-CE,Fortaleza,BR-0770,BR-0770,"-38.499436, -3.737767"
BR-0771,small_airport,Fazenda ParnaguÃ¡ Airstrip,1900.0,SA,BR,BR-PI,Santa Filomena,BR-0771,BR-0771,"-45.618233, -9.105337"
BR-0772,small_airport,Fazenda Jacuba Airport,2915.0,SA,BR,BR-GO,Mineiros,BR-0772,BR-0772,"-53.038971, -17.881872"
BR-0773,small_airport,Fazenda QuerÃªncia Airport,1453.0,SA,BR,BR-MS,Rio Verde de Mato Grosso,BR-0773,BR-0773,"-54.672754, -18.853717"
BR-0774,small_airport,Fazenda SÃ£o Luiz Airport,2959.0,SA,BR,BR-BA,LuÃ­s Eduardo MagalhÃ£es,BR-0774,BR-0774,"-46.247592, -12.425062"
BR-0775,small_airport,AnÃ­bal Airport,141.0,SA,BR,BR-CE,Russas,BR-0775,BR-0775,"-37.942778, -4.828333"
BR-0776,small_airport,Fazenda Santa Luzia Airport,853.0,SA,BR,BR-GO,AruanÃ£,BR-0776,BR-0776,"-50.880556, -14.248889"
BR-0777,small_airport,Fazenda Cachoeirinha Airport,3258.0,SA,BR,BR-GO,CaiapÃ´ni,BR-0777,BR-0777,"-51.650278, -17.2325"
BR-0778,small_airport,Fazenda Musa do Norte Airstrip,1749.0,SA,BR,BR-MG,Francisco SÃ¡,BR-0778,BR-0778,"-43.520276, -16.123689"
BR-0779,heliport,Costa de Guadalupe Heliport,16.0,SA,BR,BR-PE,SirinhaÃ©m,BR-0779,BR-0779,"-35.086845, -8.688165"
BR-0780,small_airport,Sitio AeroportuÃ¡rio Esteirinha Airport,1424.0,SA,BR,BR-PR,GoioerÃª,BR-0780,BR-0780,"-53.182276, -24.209289"
BR-0781,small_airport,Fazenda ArancuÃ£ Airport,410.0,SA,BR,BR-MS,Miranda,BR-0781,BR-0781,"-56.55678, -20.180036"
BR-0782,small_airport,Fazenda Pirizal Airport,866.0,SA,BR,BR-MT,Vila Bela da SantÃ­ssima Trindade,BR-0782,BR-0782,"-59.755164, -16.224266"
BR-0783,small_airport,Fazenda Ãgua Azul Airport,2303.0,SA,BR,BR-MT,Campo Verde,BR-0783,BR-0783,"-54.944217, -15.259432"
BR-0784,heliport,Beverly Hills Heliport,2608.0,SA,BR,BR-RJ,PetrÃ³polis,BR-0784,BR-0784,"-43.098724, -22.358958"
BR-0785,small_airport,Fazenda Pampa Alegre Airport,2011.0,SA,BR,BR-MT,Itiquira,BR-0785,BR-0785,"-54.309882, -17.49863"
BR-0786,heliport,E-Business Bosque Helipad,2625.0,SA,BR,BR-SP,SÃ£o Paulo,BR-0786,BR-0786,"-46.710257, -23.511959"
BR-0787,seaplane_base,Fazenda CatuaÃ­,961.0,SA,BR,BR-MT,Juara,BR-0787,BR-0787,"-57.609239, -11.468052"
BR-0788,heliport,Metropolitan CriciÃºma Helipad,377.0,SA,BR,BR-SC,Sapezal,BR-0788,BR-0788,"-49.366475, -28.675443"
BR-0789,small_airport,DomÃ©lia Airstrip,2077.0,SA,BR,BR-SP,Agudos,BR-0789,BR-0789,"-49.291213, -22.745532"
BR-0790,heliport,Columbia II Heliport,138.0,SA,BR,BR-ES,FundÃ£o,BR-0790,BR-0790,"-40.411574, -19.937497"
BR-0791,small_airport,Fazenda GaÃºcha do Norte Airport,1165.0,SA,BR,BR-MT,GaÃºcha do Norte,BR-0791,BR-0791,"-52.980912, -13.031392"
BR-0792,small_airport,Fazenda SÃ£o Jorge Airport,587.0,SA,BR,BR-MG,Lambari D'oeste,BR-0792,BR-0792,"-58.029166, -15.348349"
BR-0793,heliport,Hospital Estadual Dr. Jayme Santos Neves Heliport,95.0,SA,BR,BR-ES,Serra,BR-0793,BR-0793,"-40.228143, -20.201136"
BR-0794,small_airport,Santo AntÃ´nio das Furnas Airport,676.0,SA,BR,BR-MT,Santo AntÃ´nio do Leverger,BR-0794,BR-0794,"-54.954897, -16.980691"
BR-0795,heliport,Fazenda Santa Cruz Heliport,1965.0,SA,BR,BR-SP,Araras,BR-0795,BR-0795,"-47.307987, -22.273321"
BR-0796,small_airport,Aerobako Airport,1220.0,SA,BR,BR-MT,Sinop,BR-0796,BR-0796,"-55.43445, -11.917246"
BR-0797,small_airport,Lagoa Grande Airport,2139.0,SA,BR,BR-BA,Iramaia,BR-0797,BR-0797,"-41.010692, -13.404253"
BR-0798,heliport,Lagoa Redonda Heliport,46.0,SA,BR,BR-CE,Fortaleza,BR-0798,BR-0798,"-38.460549, -3.817946"
BR-0799,small_airport,Derso Portilho Vieira Airport,1142.0,SA,BR,BR-MT,SÃ£o FÃ©lix do Araguaia,BR-0799,BR-0799,"-52.219024, -11.425494"
BR-0800,small_airport,NX GOLD Airport,997.0,SA,BR,BR-MT,Nova Xavantina,BR-0800,BR-0800,"-52.499008, -14.64288"
BR-0801,small_airport,EstÃ¢ncia Primavera Airstrip,482.0,SA,BR,BR-RS,Alegrete,BR-0801,BR-0801,"-55.435554, -30.058095"
BR-0802,heliport,Hospital Samaritano Heliport,13.0,SA,BR,BR-RJ,Rio de Janeiro,BR-0802,BR-0802,"-43.373178, -22.992858"
BR-0803,heliport,Heliponto Pina,16.0,SA,BR,BR-PE,Recife,BR-0803,BR-0803,"-34.886279, -8.084035"
BR-0804,heliport,Instituto RB Heliport,33.0,SA,BR,BR-PE,Recife,BR-0804,BR-0804,"-34.963882, -8.062158"
BR-0805,heliport,Vargas Heliport,200.0,SA,BR,BR-SC,Brusque,BR-0805,BR-0805,"-48.95695, -27.148949"
BR-0806,heliport,EdifÃ­cio Luxor Helipad,2133.0,SA,BR,BR-SP,Sorocaba,BR-0806,BR-0806,"-47.463721, -23.519382"
BR-0807,small_airport,Fazenda Cachoeira do Bambuzal Airport,2530.0,SA,BR,BR-GO,Itaguari,BR-0807,BR-0807,"-49.678005, -15.931687"
BR-0808,small_airport,Marina do CaraipÃ© Airport,361.0,SA,BR,BR-PA,TucuruÃ­,BR-0808,BR-0808,"-49.683008, -3.863484"
BR-0809,small_airport,Usina CÃ©sar Filho Airport,981.0,SA,BR,BR-RO,Chupinguaia,BR-0809,BR-0809,"-61.176508, -12.2619"
BR-0810,small_airport,Fazenda Bandeirantes Airport,1079.0,SA,BR,BR-MT,Nova MarilÃ¢ndia,BR-0810,BR-0810,"-56.948738, -14.347952"
BR-0811,small_airport,Fazenda MourÃ£o Airport,476.0,SA,BR,BR-MT,Colniza,BR-0811,BR-0811,"-61.458292, -8.986135"
BR-0812,small_airport,Fly Lagos Airport,13.0,SA,BR,BR-RJ,Cabo Frio,BR-0812,BR-0812,"-42.053204, -22.719184"
BR-0813,small_airport,Presidente Roosevelt Airport,305.0,SA,BR,BR-AM,Novo AripuanÃ£,BR-0813,BR-0813,"-60.973428, -7.846799"
BR-0814,small_airport,Fazenda Barcelona V Airport,2651.0,SA,BR,BR-BA,Formosa do Rio Preto,BR-0814,BR-0814,"-46.026589, -11.598436"
BR-0815,small_airport,Fazenda Toca da OnÃ§a Airport,1152.0,SA,BR,BR-MT,UniÃ£o do Sul,BR-0815,BR-0815,"-54.573555, -11.323909"
BR-0816,small_airport,Serra da Pintura Airport,1230.0,SA,BR,BR-GO,Santa FÃ© de GoiÃ¡s,BR-0816,BR-0816,"-51.210555, -15.567429"
BR-0817,small_airport,Fly Park FlorianÃ³polis,16.0,SA,BR,BR-SC,FlorianÃ³polis,BR-0817,BR-0817,"-48.471336, -27.469935"
BR-0818,heliport,Galleria Corporate Helipad,2221.0,SA,BR,BR-SP,Campinas,BR-0818,BR-0818,"-47.021903, -22.866448"
BR-0819,small_airport,Fazenda Epemaju Airstrip,787.0,SA,BR,BR-PA,SÃ£o FÃ©lix do Xingu,BR-0819,BR-0819,"-50.965282, -5.559945"
BR-0820,small_airport,Montes Claros de GoiÃ¡s Airport,1096.0,SA,BR,BR-GO,Montes Claros de GoiÃ¡s,BR-0820,BR-0820,"-51.523453, -15.896137"
BR-0821,small_airport,Fazenda Santo Angelo Airport,2936.0,SA,BR,BR-BA,Barra do ChoÃ§a,BR-0821,BR-0821,"-40.650193, -14.827011"
BR-0822,small_airport,Salles Airport,135.0,SA,BR,BR-PA,Castanhal,BR-0822,BR-0822,"-47.953333, -1.258889"
BR-0823,heliport,Do Crer Helipad,2398.0,SA,BR,BR-GO,GoiÃ¢nia,BR-0823,BR-0823,"-49.24902, -16.655098"
BR-0824,small_airport,Fazenda Central Airstrip,377.0,SA,BR,BR-MS,Aquidauana,BR-0824,BR-0824,"-56.193288, -19.415842"
BR-0825,small_airport,Fazenda  CaacupÃª Airport,1030.0,SA,BR,BR-MS,Nioaque,BR-0825,BR-0825,"-55.822763, -21.290904"
BR-0826,heliport,Comandante Endeel Gabriel Helipad,125.0,SA,BR,BR-MA,SÃ£o LuÃ­s,BR-0826,BR-0826,"-44.251246, -2.484987"
BR-0827,small_airport,Fazenda Alvorada Airport,682.0,SA,BR,BR-TO,AraguaÃ­na,BR-0827,BR-0827,"-48.762778, -7.3175"
BR-0828,small_airport,Fazenda Joazeiro Airstrip,413.0,SA,BR,BR-MS,CorumbÃ¡,BR-0828,BR-0828,"-55.939673, -19.21012"
BR-0829,small_airport,Joca Viol Airport,1467.0,SA,BR,BR-SP,Birigui,BR-0829,BR-0829,"-50.412825, -21.282048"
BR-0830,heliport,Pequena Tiradentes Heliport,3005.0,SA,BR,BR-MG,Tiradentes,BR-0830,BR-0830,"-44.169824, -21.12802"
BR-0831,heliport,PÃ¡tio Victor Malzoni Helipad,2720.0,SA,BR,BR-SP,SÃ£o Paulo,BR-0831,BR-0831,"-46.681885, -23.586584"
BR-0832,heliport,Barroco Lopes Heliport,33.0,SA,BR,BR-RJ,MacaÃ©,BR-0832,BR-0832,"-41.744978, -22.322329"
BR-0833,small_airport,Fazenda CoraÃ§Ã£o do Brasil Airport,817.0,SA,BR,BR-MT,Pontes e Lacerda,BR-0833,BR-0833,"-59.643041, -15.970096"
BR-0834,small_airport,Fazenda SÃ£o Pedro Airport,1877.0,SA,BR,BR-MG,UnaÃ­,BR-0834,BR-0834,"-46.744627, -16.799457"
BR-0835,small_airport,Fazenda Apucarana,604.0,SA,BR,BR-PA,MarabÃ¡,BR-0835,BR-0835,"-49.77277, -5.462267"
BR-0836,heliport,SÃ­tio Sobradinho Heliport,322.0,SA,BR,BR-RJ,Parati,BR-0836,BR-0836,"-44.784313, -23.221354"
BR-0837,small_airport,Fazenda SÃ£o Braz Heliport,20.0,SA,BR,BR-AL,Barra de Santo AntÃ´nio,BR-0837,BR-0837,"-35.508239, -9.379379"
BR-0838,small_airport,Fazenda SÃ£o JosÃ© Airport,676.0,SA,BR,BR-MT,CÃ¡ceres,BR-0838,BR-0838,"-58.480352, -16.068933"
BR-0839,heliport,Brascan Century Plaza Green Valley Commercial Helipad,2890.0,SA,BR,BR-SP,Barueri,BR-0839,BR-0839,"-46.864586, -23.485251"
BR-0840,small_airport,Fazenda BoqueirÃ£o de Cedro Airport,2287.0,SA,BR,BR-TO,Arraias,BR-0840,BR-0840,"-46.693536, -12.890307"
BR-0841,small_airport,Romaer AviaÃ§Ã£o AgrÃ­cola Airport,1903.0,SA,BR,BR-MS,Aral Moreira,BR-0841,BR-0841,"-55.588507, -22.931206"
BR-0842,small_airport,Fazenda Figueiral Airport,541.0,SA,BR,BR-MS,CorumbÃ¡,BR-0842,BR-0842,"-55.413709, -18.397778"
BR-0843,small_airport,Pagador Airport,1207.0,SA,BR,BR-SP,Presidente Prudente,BR-0843,BR-0843,"-51.474657, -22.183798"
BR-0844,heliport,Vale das Palmeiras Heliport,39.0,SA,BR,BR-RJ,MacaÃ©,BR-0844,BR-0844,"-41.855829, -22.388214"
BR-0845,heliport,Cidade da PolÃ­cia Heliport,404.0,SA,BR,BR-RJ,Rio de Janeiro,BR-0845,BR-0845,"-43.25493, -22.880138"
BR-0846,small_airport,Doutor Saulo Villela Airport,2126.0,SA,BR,BR-MG,Juiz de Fora,BR-0846,BR-0846,"-43.280217, -21.780237"
BR-0847,heliport,Vila Adail 2 Heliport,1883.0,SA,BR,BR-SP,Elias Fausto,BR-0847,BR-0847,"-47.396234, -23.050483"
BR-0848,small_airport,Fazenda Santa FÃ© Airport,2575.0,SA,BR,BR-BA,Tabocas do Brejo Velho,BR-0848,BR-0848,"-44.039167, -12.224904"
BR-0849,small_airport,Fazenda Espadim Airport,1240.0,SA,BR,BR-MS,Paranhos,BR-0849,BR-0849,"-55.339382, -23.798518"
BR-0850,small_airport,Ecovias Imigrantes Heliport,2526.0,SA,BR,BR-SP,SÃ£o Bernardo do Campo,BR-0850,BR-0850,"-46.596576, -23.784505"
BR-0851,small_airport,Fazenda ChapadÃ£o Airport,3241.0,SA,BR,BR-MG,Guarda-Mor,BR-0851,BR-0851,"-47.244043, -17.893674"
BR-0852,heliport,Helicia Heliport,299.0,SA,BR,BR-BA,SimÃµes Filho,BR-0852,BR-0852,"-38.426343, -12.839235"
BR-0853,small_airport,Fazenda Santa Eulina Airstrip,390.0,SA,BR,BR-MS,CorumbÃ¡,BR-0853,BR-0853,"-56.526815, -18.126908"
BR-0854,heliport,CD 19 Helipad,39.0,SA,BR,BR-SP,GuarujÃ¡,BR-0854,BR-0854,"-46.189733, -23.95541"
BR-0855,small_airport,Asa Branca Airport,26.0,SA,BR,BR-SC,TubarÃ£o,BR-0855,BR-0855,"-48.949088, -28.528067"
BR-0856,small_airport,Coroa do AviÃ£o Airport,33.0,SA,BR,BR-PE,Igarassu,BR-0856,BR-0856,"-34.891529, -7.84515"
BR-0857,small_airport,Fazenda Santa Marina II Airport,1460.0,SA,BR,BR-MS,Campo Grande,BR-0857,BR-0857,"-53.864477, -21.374019"
BR-0858,small_airport,Fazenda Estiva Airport,1250.0,SA,BR,BR-MS,Maracaju,BR-0858,BR-0858,"-55.094423, -21.725195"
BR-0859,small_airport,Sunset Airfield,2825.0,SA,BR,BR-RS,SÃ£o Francisco de Paula,BR-0859,BR-0859,"-50.739777, -29.324402"
BR-0860,small_airport,Fazenda Bom Jesus Airport,2365.0,SA,BR,BR-MT,Pedra Preta,BR-0860,BR-0860,"-54.11, -16.794167"
BR-0861,heliport,FIESC Helipad,69.0,SA,BR,BR-SC,FlorianÃ³polis,BR-0861,BR-0861,"-48.493019, -27.592236"
BR-0862,heliport,Fazenda Santa Maria Heliport,2575.0,SA,BR,BR-SP,Cravinhos,BR-0862,BR-0862,"-47.757525, -21.284871"
BR-0863,small_airport,Fazenda Patropi,984.0,SA,BR,BR-PA,SÃ£o FÃ©lix do Xingu,BR-0863,BR-0863,"-51.610344, -9.308215"
BR-0864,heliport,Heliponto Conduspar,3064.0,SA,BR,BR-PR,SÃ£o JosÃ© dos Pinhais,BR-0864,BR-0864,"-49.152381, -25.572524"
BR-0865,heliport,Guidoni Heliport,538.0,SA,BR,BR-ES,SÃ£o Domingos do Norte,BR-0865,BR-0865,"-40.630563, -19.190467"
BR-0866,small_airport,Alberi Juliani Airport,663.0,SA,BR,BR-TO,Lagoa da ConfusÃ£o,BR-0866,BR-0866,"-49.585894, -10.786358"
BR-0867,small_airport,Rumenos Sarkis SimÃ£o Airport,2064.0,SA,BR,BR-GO,Padre Bernardo,BR-0867,BR-0867,"-48.242565, -15.138302"
BR-0868,heliport,Igarashi Heliport,2674.0,SA,BR,BR-SC,Papanduva,BR-0868,BR-0868,"-50.164744, -26.392831"
BR-0869,heliport,Fazenda Cardeiros Heliport,59.0,SA,BR,BR-RJ,SÃ£o Pedro da Aldeia,BR-0869,BR-0869,"-42.131377, -22.879151"
BR-0870,heliport,Gandini Terras Heliport,1903.0,SA,BR,BR-SP,Itu,BR-0870,BR-0870,"-47.287635, -23.298827"
BR-0871,small_airport,Pista Aldeia KenjdÃ£,892.0,SA,BR,BR-PA,Altamira,BR-0871,BR-0871,"-53.262633, -7.957261"
BR-0872,small_airport,Asa Branca Heliport,1624.0,SA,BR,BR-PE,GravatÃ¡,BR-0872,BR-0872,"-35.5175, -8.190833"
BR-0873,heliport,Iguatemi RibeirÃ£o Preto Helipad,2021.0,SA,BR,BR-SP,RibeirÃ£o Preto,BR-0873,BR-0873,"-47.83686, -21.225657"
BR-0874,small_airport,Fazenda Serra Grande Airport,1739.0,SA,BR,BR-PI,Ribeiro GonÃ§alves,BR-0874,BR-0874,"-45.517925, -8.343619"
BR-0875,small_airport,AgropecuÃ¡ria SÃ£o Bernardo Airport,1070.0,SA,BR,BR-RS,SÃ£o Miguel das MissÃµes,BR-0875,BR-0875,"-54.382433, -28.817551"
BR-0876,heliport,Fortesolo Heliport,33.0,SA,BR,BR-PR,ParanaguÃ¡,BR-0876,BR-0876,"-48.557693, -25.55426"
BR-0877,heliport,Flamboyant II Helipad,2736.0,SA,BR,BR-GO,GoiÃ¢nia,BR-0877,BR-0877,"-49.235734, -16.709452"
BR-0878,heliport,Gois Heliport,3704.0,SA,BR,BR-GO,ValparaÃ­so de GoiÃ¡s,BR-0878,BR-0878,"-47.998862, -16.063639"
BR-0879,heliport,InsÃ³lito Hotel Heliport,79.0,SA,BR,BR-RJ,ArmaÃ§Ã£o de BÃºzios,BR-0879,BR-0879,"-41.882726, -22.770088"
BR-0880,heliport,Jaru TradiÃ§Ã£o Heliport,505.0,SA,BR,BR-RO,Jaru,BR-0880,BR-0880,"-62.448333, -10.4425"
BR-0881,heliport,Marina Beach Tower Helipad,26.0,SA,BR,BR-SC,BalneÃ¡rio CamboriÃº,BR-0881,BR-0881,"-48.620682, -27.005694"
BR-0882,heliport,ResidÃªncia Oficial de Ãguas Claras I Heliport,3757.0,SA,BR,BR-DF,BrasÃ­lia,BR-0882,BR-0882,"-48.028859, -15.829281"
BR-0883,heliport,VilacÃ³ptero II Heliport,98.0,SA,BR,BR-ES,Vila Velha,BR-0883,BR-0883,"-40.373329, -20.503154"
BR-0884,heliport,PFB Heliport,43.0,SA,BR,BR-CE,Aquiraz,BR-0884,BR-0884,"-38.324583, -3.925428"
BR-0885,small_airport,Fazenda Ouro Verde Airport,1900.0,SA,BR,BR-MT,Juscimeira,BR-0885,BR-0885,"-55.116159, -16.236783"
BR-0886,small_airport,Tom AviaÃ§Ã£o AgrÃ­cola Ltda. Airstrip,1716.0,SA,BR,BR-SP,ItÃ¡polis,BR-0886,BR-0886,"-48.794454, -21.621"
BR-0887,closed,Lagoa Heliport,7.0,SA,BR,BR-CE,EusÃ©bio,BR-0887,BR-0887,"-38.438889, -3.811389"
BR-0888,small_airport,Celeiro 1 Airport,2749.0,SA,BR,BR-BA,Jaborandi,BR-0888,BR-0888,"-45.5439, -14.370574"
BR-0889,small_airport,Fazenda Dona Chica Airport,108.0,SA,BR,BR-RS,OsÃ³rio,BR-0889,BR-0889,"-50.372222, -30.033611"
BR-0890,small_airport,Fazenda Santa FÃ© Airport,1083.0,SA,BR,BR-MS,Guia Lopes da Laguna,BR-0890,BR-0890,"-55.878868, -21.473518"
BR-0891,heliport,Civil Towers Helipad,335.0,SA,BR,BR-BA,Salvador,BR-0891,BR-0891,"-38.449069, -12.98941"
BR-0892,heliport,"Marisol Helipad,",164.0,SA,BR,BR-SC,JaraguÃ¡ do Sul,BR-0892,BR-0892,"-49.063997, -26.482251"
BR-0893,small_airport,Fazenda MarrecÃ£o Airport,528.0,SA,BR,BR-RO,SÃ£o Miguel do GuaporÃ©,BR-0893,BR-0893,"-63.042222, -12.04"
BR-0894,small_airport,Fazenda ParaÃ­so Airport,2641.0,SA,BR,BR-MG,Alfenas,BR-0894,BR-0894,"-45.836725, -21.347703"
BR-0895,heliport,Bira GuimarÃ£es Heliport,2290.0,SA,BR,BR-SP,IgaratÃ¡,BR-0895,BR-0895,"-46.094771, -23.195379"
BR-0896,small_airport,RibeirÃ£o Cascalheira Airstrip,1253.0,SA,BR,BR-MT,RibeirÃ£o Cascalheira,BR-0896,BR-0896,"-51.826887, -12.911482"
BR-0897,small_airport,AntÃ´nio Costa da Silva,223.0,SA,BR,BR-AM,JuruÃ¡,BR-0897,BR-0897,"-66.057696, -3.482507"
BR-0898,small_airport,Pousada PirÃ¡-AÃ§u Airstrip,315.0,SA,BR,BR-AM,ApuÃ­,BR-0898,BR-0898,"-60.379653, -7.771226"
BR-0899,small_airport,Pousada Amazon Roosevelt Airport,174.0,SA,BR,BR-AM,Novo AripuanÃ£,BR-0899,BR-0899,"-60.688766, -7.570001"
BR-0900,closed,Presidente MÃ©dici International Airport,451.0,SA,BR,BR-AC,Rio Branco,BR-0900,BR-0900,"-67.8011, -9.992007"
BR-0901,small_airport,Fazenda GaÃºcha Airport,1834.0,SA,BR,BR-MT,Campo Novo Do Parecis,BR-0901,BR-0901,"-57.618492, -13.723256"
BR-0902,small_airport,Fazenda Mina de Ouro Airport,1880.0,SA,BR,BR-MT,Paranatinga,BR-0902,BR-0902,"-54.235142, -14.131025"
BR-0903,heliport,VLI Tiplam Heliport,16.0,SA,BR,BR-SP,Santos,BR-0903,BR-0903,"-46.366146, -23.870838"
BR-0904,small_airport,Fazenda SÃ£o Francisco Airport,1017.0,SA,BR,BR-MT,IndiavaÃ­,BR-0904,BR-0904,"-58.572064, -15.347004"
BR-0905,small_airport,Sesc Serra Azul Airport,856.0,SA,BR,BR-MT,RosÃ¡rio Oeste,BR-0905,BR-0905,"-55.712029, -14.476571"
BR-0906,small_airport,Fazenda Rio XingÃº Airport,1106.0,SA,BR,BR-MT,Santa Cruz do Xingu,BR-0906,BR-0906,"-52.558165, -10.136081"
BR-0907,small_airport,Fazenda Nascente Airport,1863.0,SA,BR,BR-MT,Jaciara,BR-0907,BR-0907,"-55.096146, -16.071395"
BR-0908,small_airport,Fazenda Eldorado Airport,1552.0,SA,BR,BR-MT,GaÃºcha do Norte,BR-0908,BR-0908,"-53.544488, -13.602402"
BR-0909,heliport,JK Business Center Helipad.,1099.0,SA,BR,BR-TO,Palmas,BR-0909,BR-0909,"-48.337677, -10.185282"
BR-0910,heliport,Fazenda JatobÃ¡ Heliport,2011.0,SA,BR,BR-SP,Santo AntÃ´nio de Posse,BR-0910,BR-0910,"-47.034016, -22.582988"
BR-0911,heliport,Jeep Heliport,302.0,SA,BR,BR-PE,Goiana,BR-0911,BR-0911,"-34.969288, -7.614178"
BR-0912,small_airport,Fazenda Cambay Airstrip,1453.0,SA,BR,BR-MS,Juti,BR-0912,BR-0912,"-54.32308, -22.669967"
BR-0913,small_airport,Fazenda Capuame Airstrip,79.0,SA,BR,BR-BA,CamaÃ§ari,BR-0913,BR-0913,"-38.198411, -12.691861"
BR-0914,small_airport,Fazenda Tupancy Airport,1719.0,SA,BR,BR-MT,Sapezal,BR-0914,BR-0914,"-58.589466, -13.454916"
BR-0915,small_airport,Fazenda VitÃ³ria Airport,587.0,SA,BR,BR-MS,Rio Verde de Mato Grosso,BR-0915,BR-0915,"-55.104928, -18.623287"
BR-0916,small_airport,Fazenda Retimar Airport,1119.0,SA,BR,BR-MS,Iguatemi,BR-0916,BR-0916,"-54.818137, -23.507238"
BR-0917,small_airport,VÃ´ Amantino Airport,1188.0,SA,BR,BR-MT,ClÃ¡udia,BR-0917,BR-0917,"-55.238421, -11.664502"
BR-0918,small_airport,Fazenda Santa Paula Airport,512.0,SA,BR,BR-MT,CÃ¡ceres,BR-0918,BR-0918,"-57.548056, -15.643056"
BR-0919,small_airport,Fazenda Bang Bang Airport,1086.0,SA,BR,BR-MT,SÃ£o JosÃ© do Xingu,BR-0919,BR-0919,"-52.734722, -10.89"
BR-0920,small_airport,Cialne IrauÃ§uba Airstrip,495.0,SA,BR,BR-CE,IrauÃ§uba,BR-0920,BR-0920,"-39.951667, -3.754444"
BR-0921,small_airport,Fazenda JK Airport,1978.0,SA,BR,BR-MT,Comodoro,BR-0921,BR-0921,"-59.916773, -13.033575"
BR-0922,heliport,EstÃ¢ncia do Sol Heliport,2703.0,SA,BR,BR-PR,Arapongas,BR-0922,BR-0922,"-51.431098, -23.508318"
BR-0923,small_airport,Dal Molin Airport,1562.0,SA,BR,BR-PR,Santa Izabel do Oeste,BR-0923,BR-0923,"-53.500649, -25.788383"
BR-0924,heliport,Kinbor Helipad,276.0,SA,BR,BR-SP,Praia Grande,BR-0924,BR-0924,"-46.416625, -24.011668"
BR-0925,small_airport,Fazenda Rosa do Deserto Airstrip,1411.0,SA,BR,BR-BA,UbaÃ­ra,BR-0925,BR-0925,"-39.759292, -13.240032"
BR-0926,small_airport,Tabuleiro V Airport,2523.0,SA,BR,BR-BA,Correntina,BR-0926,BR-0926,"-45.375338, -13.243663"
BR-0927,small_airport,JH Sementes Airport,3169.0,SA,BR,BR-BA,Correntina,BR-0927,BR-0927,"-46.147334, -13.768178"
BR-0928,heliport,MucugÃª Village Resort Hotel Heliport,66.0,SA,BR,BR-BA,Porto Seguro,BR-0928,BR-0928,"-39.071866, -16.500111"
BR-0929,small_airport,Fazenda Flor da Serra Airport,3261.0,SA,BR,BR-BA,Jaborandi,BR-0929,BR-0929,"-46.18116, -14.10095"
