Ident,Type,Name,Elevation_ft,Continent,Iso_country,Iso_region,Municipality,Gps_code,Local_code,Coordinates
RU-0277,heliport,Rzhevka Heliport,56.0,EU,RU,RU-LEN,St. Petersburg,RU-0277,RU-0277,"30.575825572, 59.979235882"
RU-0278,closed,Sukhaya Rechka Naval Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Primorskiy,RU-0278,RU-0278,"131.542, 43.029"
RU-0279,heliport,Vera Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Kratovo,RU-0279,RU-0279,"38.1521, 55.6203"
RU-0281,small_airport,Bely Klyuch Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ULY,Ulyanovsk,RU-0281,RU-0281,"48.321, 54.1965"
RU-0282,small_airport,Millerovo Air Base,499.0,EU,RU,RU-ROS,Millerovo,RU-0282,RU-0282,"40.296, 48.954"
RU-0283,closed,Millerovo Airport,492.0,EU,RU,RU-ROS,Millerovo,RU-0283,RU-0283,"40.417, 48.937"
RU-0284,small_airport,Bogorodsk Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NIZ,Bogorodsk,RU-0284,RU-0284,"43.545, 56.121"
RU-0285,small_airport,Primorsko-Akhtarsk Air Base,16.0,EU,RU,RU-KDA,Primorsko-Akhtarsk,RU-0285,RU-0285,"38.24, 46.059"
RU-0286,heliport,Temryuk Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KDA,Temryuk,RU-0286,RU-0286,"37.3232656717, 45.3033690157"
RU-0287,small_airport,Korenovsk Air Base,172.0,EU,RU,RU-KDA,Korenovsk,RU-0287,RU-0287,"39.424, 45.447"
RU-0288,small_airport,Kushchyovskaya Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KDA,Kushchyovskaya,RU-0288,RU-0288,"39.548, 46.537"
RU-0289,small_airport,Goreloye Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-TAM,Tambov,RU-0289,RU-0289,"41.469, 52.957"
RU-0290,closed,Kineshma Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-IVA,Kineshma,RU-0290,RU-0290,"42.19, 57.416"
RU-0291,small_airport,Nezhitino Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-IVA,Nezhitino,RU-0291,RU-0291,"43.2863, 57.4813"
